step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,2.850433349609375,0.6060606060606061,,3.452211817757028,0.5409836065573771,,,,,2026-08-18T17:11:07.6520000Z
2,4.8576788902282715,0.6363636363636364,,3.6851813242985654,0.5384615384615384,,,,,2026-08-18T17:11:17.1890000Z
3,3.2896289825439453,0.64,,1.7066967010498046,0.7666666666666667,,,,,2026-08-18T17:11:27.6390000Z
4,1.7717682123184204,0.75,,1.470935685294015,0.8214285714285714,,,,,2026-08-18T17:11:46.7790000Z
5,1.1065179109573364,0.6923076923076923,,1.8230406443277996,0.5789473684210527,,,,,2026-08-18T17:11:54.5400000Z
6,1.4940285682678223,0.6666666666666666,,1.3260338075699345,0.6129032258064516,,,,,2026-08-18T17:12:03.4840000Z
7,1.9145305156707764,0.5813953488372093,,1.1712348514133029,0.7333333333333333,,,,,2026-08-18T17:12:12.9730000Z
8,1.0831317901611328,0.7027027027027027,,1.8074753761291504,0.525,,,,,2026-08-18T17:12:28.9250000Z
9,1.167272686958313,0.65625,,1.2798121957217945,0.7058823529411765,,,,,2026-08-18T17:12:39.2680000Z
10,0.7244101762771606,0.8214285714285714,,1.216914103581355,0.6346153846153846,,,,,2026-08-18T17:12:47.8490000Z
11,1.4404025077819824,0.68,,1.3949945994785853,0.7142857142857143,,,,,2026-08-18T17:12:57.6060000Z
12,1.093623399734497,0.734375,,0.6123028331332736,0.7222222222222222,,,,,2026-08-18T17:13:07.2820000Z
13,0.6667109727859497,0.7857142857142857,,1.4603879021816566,0.6557377049180327,,,,,2026-08-18T17:13:16.0390000Z
14,1.2729976177215576,0.7428571428571429,,1.3571022473848784,0.6923076923076923,,,,,2026-08-18T17:13:23.6580000Z
15,1.5579913854599,0.5714285714285714,,1.114129010368796,0.6470588235294118,,,,,2026-08-18T17:13:33.8170000Z
16,1.3076733350753784,0.7391304347826086,,1.1456469127110072,0.7857142857142857,,,,,2026-08-18T17:13:42.4120000Z
17,0.6921682953834534,0.7916666666666666,,0.6342982716030545,0.6944444444444444,,,,,2026-08-18T17:13:50.2820000Z
18,0.8184818029403687,0.75,,0.9745396029564642,0.6774193548387096,,,,,2026-08-18T17:13:58.0690000Z
19,0.8848349452018738,0.7291666666666666,,1.0080217633928572,0.7142857142857143,,,,,2026-08-18T17:14:05.7830000Z
20,1.4065629243850708,0.6595744680851063,,1.5510962009429932,0.55,,,,,2026-08-18T17:14:13.8710000Z
21,1.231453776359558,0.5862068965517241,,1.2249694970937877,0.6730769230769231,,,,,2026-08-18T17:14:21.5230000Z
22,0.5727686882019043,0.8695652173913043,,0.6261323293050131,0.8,,,,,2026-08-18T17:14:29.7390000Z
23,0.8589574694633484,0.6216216216216216,,0.836537594265408,0.7333333333333333,,,,,2026-08-18T17:14:37.3580000Z
24,1.2101647853851318,0.6666666666666666,,1.4653518743682326,0.5789473684210527,,,,,2026-08-18T17:14:47.2090000Z
25,0.9731405377388,0.5909090909090909,,1.432696107958184,0.6557377049180327,,,,,2026-08-18T17:14:54.9290000Z
26,1.1827080249786377,0.7045454545454546,,0.8778066635131836,0.8214285714285714,,,,,2026-08-18T17:15:02.8250000Z
27,0.819602906703949,0.7407407407407407,,0.8080224778917101,0.7333333333333333,,,,,2026-08-18T17:15:11.0470000Z
28,1.2089197635650635,0.6785714285714286,,1.446819740429259,0.631578947368421,,,,,2026-08-18T17:15:19.1000000Z
29,0.7004916071891785,0.75,,0.5500869750976562,0.75,,,,,2026-08-18T17:15:26.6460000Z
30,1.0965602397918701,0.673469387755102,,0.9800406063304228,0.6470588235294118,,,,,2026-08-18T17:15:36.6150000Z
31,1.158399224281311,0.7631578947368421,,0.48724568684895836,0.8666666666666667,,,,,2026-08-18T17:15:44.4770000Z
32,1.3179875612258911,0.6666666666666666,,1.3931569099426269,0.625,,,,,2026-08-18T17:15:52.5580000Z
33,0.911237359046936,0.7058823529411765,,0.7955703735351562,0.6923076923076923,,,,,2026-08-18T17:16:02.1840000Z
34,0.9642107486724854,0.7014925373134329,,1.0266467678931452,0.7096774193548387,,,,,2026-08-18T17:16:14.8780000Z
35,1.7409380674362183,0.5789473684210527,,0.7752948488507952,0.7142857142857143,,,,,2026-08-18T17:16:22.7620000Z
36,0.6548450589179993,0.7894736842105263,,1.1947796894953802,0.6923076923076923,,,,,2026-08-18T17:16:30.4390000Z
37,0.9100467562675476,0.7894736842105263,,0.7243729318891253,0.8571428571428571,,,,,2026-08-18T17:16:38.5390000Z
38,1.063455581665039,0.7142857142857143,,0.9832992553710938,0.7096774193548387,,,,,2026-08-18T17:16:46.3070000Z
39,1.6689656972885132,0.5777777777777777,,0.8118190765380859,0.7307692307692307,,,,,2026-08-18T17:16:53.8670000Z
40,1.4398249387741089,0.6956521739130435,,1.4853342625132777,0.6140350877192983,,,,,2026-08-18T17:17:01.8310000Z
41,1.1370700597763062,0.7631578947368421,,0.8795572492811415,0.6888888888888889,,,,,2026-08-18T17:17:09.5410000Z
42,0.8496583700180054,0.71875,,0.617036034079159,0.8235294117647058,,,,,2026-08-18T17:17:17.3890000Z
43,0.8748345971107483,0.711864406779661,,1.3598360061645507,0.625,,,,,2026-08-18T17:17:26.4550000Z
44,1.3054417371749878,0.6829268292682927,,0.4566300180223253,0.8333333333333334,,,,,2026-08-18T17:17:34.0140000Z
45,1.2648444175720215,0.5666666666666667,,0.8177267483302525,0.75,,,,,2026-08-18T17:17:41.7840000Z
46,1.5581382513046265,0.5789473684210527,,1.1636793063237116,0.7115384615384616,,,,,2026-08-18T17:17:50.3850000Z
47,0.9823313355445862,0.7297297297297297,,1.4535963027203669,0.5901639344262295,,,,,2026-08-18T17:17:58.4450000Z
48,0.8509219288825989,0.7096774193548387,,0.5282568613688151,0.8666666666666667,,,,,2026-08-18T17:18:06.2830000Z
49,1.2779858112335205,0.6164383561643836,,0.7913979016817533,0.7307692307692307,,,,,2026-08-18T17:18:14.2110000Z
50,0.9452834725379944,0.6730769230769231,,0.8003501210893903,0.75,,,,,2026-08-18T17:18:21.7510000Z
51,0.9736679196357727,0.7,,0.4889547684613396,0.8235294117647058,,,,,2026-08-18T17:18:29.5440000Z
52,0.694718599319458,0.8292682926829268,,0.8440237681070963,0.7333333333333333,,,,,2026-08-18T17:18:37.5240000Z
53,1.4829976558685303,0.5,,0.4477681583828396,0.8333333333333334,,,,,2026-08-18T17:18:45.0400000Z
54,0.9581121206283569,0.7428571428571429,,0.684889589037214,0.8571428571428571,,,,,2026-08-18T17:18:52.7980000Z
55,0.5389608144760132,0.8387096774193549,,1.5234616597493489,0.5789473684210527,,,,,2026-08-18T17:19:00.0030000Z
56,0.5115301012992859,0.8292682926829268,,0.7893277445147114,0.7741935483870968,,,,,2026-08-18T17:19:07.5990000Z
57,0.7274360656738281,0.7619047619047619,,0.5048189163208008,0.8666666666666667,,,,,2026-08-18T17:19:15.5220000Z
58,1.037609577178955,0.6744186046511628,,1.1107785885150616,0.7115384615384616,,,,,2026-08-18T17:19:23.2270000Z
59,0.556027889251709,0.8695652173913043,,1.371072268876873,0.639344262295082,,,,,2026-08-18T17:19:30.8920000Z
60,1.226348876953125,0.6296296296296297,,1.3007890224456786,0.625,,,,,2026-08-18T17:19:42.8440000Z
61,0.7276305556297302,0.7857142857142857,,0.43990548451741535,0.8333333333333334,,,,,2026-08-18T17:19:50.7300000Z
62,0.8819580674171448,0.6666666666666666,,0.7465548882117639,0.7307692307692307,,,,,2026-08-18T17:19:58.9200000Z
63,0.6464449167251587,0.85,,1.3003852367401123,0.625,,0.970892235867993,0.7250554323725056,,2026-08-18T17:20:13.0230000Z
