step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate,timestamp
1,2.1859564781188965,0.7777777777777778,,2.139759615847939,0.7894736842105263,,,,,2026-08-18T16:31:05.4090000Z
2,1.8214983940124512,0.7560975609756098,,2.051808169288357,0.7372262773722628,,,,,2026-08-18T16:31:21.9700000Z
3,1.6824219226837158,0.8144329896907216,,1.530513721660976,0.7591240875912408,,,,,2026-08-18T16:31:34.6240000Z
4,2.5893702507019043,0.5138888888888888,,0.9167942247892681,0.8552631578947368,,,,,2026-08-18T16:31:47.2860000Z
5,1.410445213317871,0.6020408163265306,,0.6706745499058774,0.8421052631578947,,,,,2026-08-18T16:32:00.8220000Z
6,0.5180794596672058,0.9015151515151515,,0.8284051435707259,0.8248175182481752,,,,,2026-08-18T16:32:13.7950000Z
7,1.1569098234176636,0.775,,0.4755108983893144,0.8421052631578947,,,,,2026-08-18T16:32:25.7750000Z
8,0.28095850348472595,0.9097744360902256,,0.7390888938068474,0.8321167883211679,,,,,2026-08-18T16:32:37.6000000Z
9,0.37386128306388855,0.9015544041450777,,0.4627124886763723,0.8421052631578947,,,,,2026-08-18T16:32:50.6460000Z
10,0.33169981837272644,0.8723404255319149,,0.6556644439697266,0.8394160583941606,,0.5813172926925158,0.8544600938967136,,2026-08-18T16:33:09.1090000Z
11,0.4022795557975769,0.9072164948453608,,0.41991710662841797,0.868421052631579,,,,,2026-08-18T16:33:25.2420000Z
12,0.26139339804649353,0.8936170212765957,,0.640596988427378,0.8467153284671532,,,,,2026-08-18T16:33:36.1690000Z
13,1.6534039974212646,0.5694444444444444,,0.40377812636526006,0.881578947368421,,,,,2026-08-18T16:33:47.0430000Z
14,0.6951497197151184,0.85,,0.6440708550223468,0.8467153284671532,,,,,2026-08-18T16:33:58.1990000Z
15,0.7980871200561523,0.7346938775510204,,0.4268552127637361,0.8947368421052632,,,,,2026-08-18T16:34:09.1190000Z
16,0.2478557825088501,0.9067357512953368,,0.6403380484476576,0.8467153284671532,,,,,2026-08-18T16:34:20.9780000Z
17,0.1343768835067749,0.9545454545454546,,0.4060745490224738,0.8947368421052632,,,,,2026-08-18T16:34:31.2550000Z
18,0.12704305350780487,0.9548872180451128,,0.6121287659136918,0.8540145985401459,,,,,2026-08-18T16:34:42.6030000Z
19,0.5302855372428894,0.8292682926829268,,0.6143394665126383,0.8686131386861314,,,,,2026-08-18T16:34:53.5490000Z
20,0.5030537247657776,0.8444444444444444,,0.4138604967217696,0.9210526315789473,,0.5300061310960653,0.892018779342723,,2026-08-18T16:35:10.9890000Z
21,0.14028871059417725,0.9690721649484536,,0.4044576695090846,0.9078947368421053,,,,,2026-08-18T16:35:25.4740000Z
22,0.06788915395736694,0.9893617021276596,,0.6033071810311644,0.8686131386861314,,,,,2026-08-18T16:35:36.5060000Z
23,0.394560307264328,0.8740740740740741,,0.4062922377335398,0.8947368421052632,,,,,2026-08-18T16:35:48.3620000Z
24,0.04999605193734169,0.9924812030075187,,0.5862140655517578,0.8759124087591241,,,,,2026-08-18T16:35:59.3230000Z
25,1.0983611345291138,0.6111111111111112,,0.413020510422556,0.8947368421052632,,,,,2026-08-18T16:36:10.5920000Z
26,0.21810674667358398,0.95,,0.5704556068364721,0.8832116788321168,,,,,2026-08-18T16:36:21.2160000Z
27,0.03801162168383598,0.9848484848484849,,0.5785657367567076,0.8832116788321168,,,,,2026-08-18T16:36:32.9600000Z
28,0.39610570669174194,0.9024390243902439,,0.4028603654158743,0.8947368421052632,,,,,2026-08-18T16:36:43.7710000Z
29,0.4472667872905731,0.8775510204081632,,0.4052908797013132,0.8947368421052632,,,,,2026-08-18T16:36:53.9930000Z
30,0.10249794274568558,0.9533678756476683,,0.5761522167790545,0.8832116788321168,,0.5106090581473051,0.9014084507042254,,2026-08-18T16:37:11.1000000Z
